classifier,num_bands,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,train_time_mean,model_size_mb_mean,experiment,dataset,num_runs,OA_ci,AA_ci,Kappa_ci
knn,35,0.767609756097561,0.0354852484201983,0.6973673355915324,0.0607028032420764,0.7333752887115192,0.040967018416542,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.03110419164508392,0.05320835303383836,0.035909174901830494
knn,40,0.7703414634146342,0.040015463994749,0.7078953352758754,0.0719866184371243,0.7365917555328053,0.0461323083525833,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.03507510067623398,0.06309905313993384,0.040436751154660174
rf,10,0.8041951219512196,0.0116083212886699,0.7544358767076341,0.0375992369913586,0.7753205620225999,0.0135359300420845,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.010175142238400551,0.03295718432740258,0.011864765807410752
rf,15,0.8205853658536585,0.0085776018108617,0.7710027521705539,0.0286412977565439,0.7941347086796838,0.0100350395569786,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.007518599487340725,0.025105204388998197,0.00879609999767098
rf,20,0.8299512195121951,0.0065500407562386,0.7888181444452657,0.0214422459585977,0.8049634209309373,0.0077191222537833,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.005741363863446707,0.01879495726504828,0.00676610897774761
rf,25,0.846439024390244,0.0064475184182534,0.8075788488809584,0.0170801492679379,0.823957112772342,0.0075616297065577,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.005651499072003437,0.014971410932949345,0.006628060673461562
rf,30,0.845170731707317,0.0053280263106002,0.8191911836457034,0.0173404485811218,0.8225126130650651,0.006172574624969,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.004670220974432506,0.015199573340789424,0.005410500211387414
rf,35,0.852780487804878,0.0045682086901241,0.8344381481900249,0.013667426372694,0.8312410807581028,0.0053340342286137,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.004004211465276921,0.011980027423152326,0.0046754871467604275
rf,40,0.8553170731707317,0.0033012535250124,0.8349761470425505,0.0139306756296445,0.8342055896855829,0.0038574141997112,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.002893676298812303,0.012210775570710835,0.003381172624227459
svc,10,0.8042926829268293,0.0243179416142598,0.8429439010734748,0.0407119092028714,0.7787321121347504,0.0276743332080645,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.021315615644763503,0.03568556181679653,0.024257622591803123
svc,15,0.8307317073170731,0.0239173671651341,0.8660875663406526,0.0370076926961373,0.8083855547029444,0.0271671584389607,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.020964496659032023,0.0324386728911223,0.02381306430580909
svc,20,0.8387317073170731,0.0257512929738971,0.8647353528696261,0.0382314058026044,0.8173255885751599,0.0291278079651816,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.022572003506473478,0.03351130472200131,0.025531649389116704
svc,25,0.868780487804878,0.0124270626369336,0.8887558599117004,0.021155080879454,0.8511243431275164,0.0142243907267698,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.010892800672197877,0.01854324597505835,0.012468228204601363
svc,30,0.8772682926829269,0.0133171625119847,0.895793517137856,0.0055670856511039,0.8606594287197374,0.0151535682081164,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.01167300761253018,0.004879765725353343,0.013282688177090956
svc,35,0.8858536585365855,0.0035006585596115,0.9009753144689494,0.0099085320968964,0.8703840537896486,0.0040003896993163,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.003068462518080663,0.008685211319752362,0.0035064961752311868
svc,40,0.8917073170731709,0.0053990106393118,0.9106346016066869,0.0122054140553623,0.8769911467048594,0.0061186371623382,18.54549107551575,53.90400000000001,exp1,Indian_pines,5,0.004732441481892346,0.01069851712435802,0.005363221940860695
