classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run,train_time_sec,model_size_mb
knn,40,0.919083687419176,0.9601561741362565,0.9097956471885735,1.8338875770568848,"[13, 15, 21, 27, 33, 36, 37, 47, 48, 52, 55, 56, 59, 65, 75, 84, 87, 92, 98, 101, 102, 107, 111, 132, 136, 138, 140, 147, 149, 150, 154, 168, 169, 171, 172, 177, 188, 193, 195, 199]",exp1,KSC,1,62.8134708404541,230.19
rf,10,0.9370035100683539,0.9649745934828114,0.9297619695186172,14.38433051109314,"[49, 71, 92, 104, 116, 141, 162, 175, 182, 200]",exp1,KSC,2,62.80066967010498,230.19
svc,10,0.922039534454092,0.9656727118459488,0.9132129125828922,17.663599729537964,"[49, 71, 92, 104, 116, 141, 162, 175, 182, 200]",exp1,KSC,2,62.80066967010498,230.19
knn,10,0.9021799371882505,0.9439759860999982,0.8909062144306994,0.6472940444946289,"[49, 71, 92, 104, 116, 141, 162, 175, 182, 200]",exp1,KSC,2,62.80066967010498,230.19
rf,15,0.9459634213929429,0.9712160208168324,0.9397616248789994,13.762886047363281,"[1, 20, 49, 62, 71, 92, 104, 114, 116, 141, 154, 162, 175, 182, 200]",exp1,KSC,2,62.80066967010498,230.19
svc,15,0.9328468501755034,0.9721509146104633,0.9252645383510377,18.523136377334595,"[1, 20, 49, 62, 71, 92, 104, 114, 116, 141, 154, 162, 175, 182, 200]",exp1,KSC,2,62.80066967010498,230.19
knn,15,0.9005172732311103,0.9463077976981425,0.8891153394944387,0.9362807273864746,"[1, 20, 49, 62, 71, 92, 104, 114, 116, 141, 154, 162, 175, 182, 200]",exp1,KSC,2,62.80066967010498,230.19
rf,20,0.947533715130242,0.972348544140227,0.9415233558883382,17.348426342010498,"[1, 19, 20, 49, 61, 62, 71, 86, 92, 104, 114, 116, 141, 154, 162, 172, 174, 175, 182, 200]",exp1,KSC,2,62.80066967010498,230.19
svc,20,0.935525586550896,0.9735642761205857,0.9282481283885547,18.72345232963562,"[1, 19, 20, 49, 61, 62, 71, 86, 92, 104, 114, 116, 141, 154, 162, 172, 174, 175, 182, 200]",exp1,KSC,2,62.80066967010498,230.19
knn,20,0.9067060779604655,0.9498858772695299,0.8960445087012404,1.5954155921936035,"[1, 19, 20, 49, 61, 62, 71, 86, 92, 104, 114, 116, 141, 154, 162, 172, 174, 175, 182, 200]",exp1,KSC,2,62.80066967010498,230.19
rf,25,0.9485497875484944,0.973558484328641,0.9426481190859947,20.54986810684204,"[1, 19, 20, 49, 61, 62, 71, 80, 86, 92, 104, 114, 116, 141, 142, 151, 154, 162, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
svc,25,0.9369111398485128,0.9743273976937311,0.9297854350850734,20.204192876815796,"[1, 19, 20, 49, 61, 62, 71, 80, 86, 92, 104, 114, 116, 141, 142, 151, 154, 162, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
knn,25,0.9045815629041197,0.9503024485232168,0.8936722753160324,1.653397798538208,"[1, 19, 20, 49, 61, 62, 71, 80, 86, 92, 104, 114, 116, 141, 142, 151, 154, 162, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
rf,30,0.9507666728246813,0.9749561518344927,0.9451167761487299,20.602396965026855,"[1, 6, 19, 20, 33, 49, 61, 62, 71, 80, 86, 92, 104, 114, 116, 123, 138, 141, 142, 151, 154, 162, 165, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
svc,30,0.9373729909477184,0.9748177334951231,0.9303085690272238,22.23917531967163,"[1, 6, 19, 20, 33, 49, 61, 62, 71, 80, 86, 92, 104, 114, 116, 123, 138, 141, 142, 151, 154, 162, 165, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
knn,30,0.9080916312580823,0.9524053810162244,0.897580634664108,1.7938790321350098,"[1, 6, 19, 20, 33, 49, 61, 62, 71, 80, 86, 92, 104, 114, 116, 123, 138, 141, 142, 151, 154, 162, 165, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
rf,35,0.9491040088675411,0.9742081402973408,0.9432681734118639,20.292307376861572,"[1, 6, 7, 19, 20, 33, 49, 61, 62, 71, 80, 86, 92, 104, 114, 116, 121, 123, 127, 138, 141, 142, 145, 151, 154, 162, 165, 168, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
svc,35,0.936264548309625,0.9743048081113258,0.9290743509391705,21.708128690719604,"[1, 6, 7, 19, 20, 33, 49, 61, 62, 71, 80, 86, 92, 104, 114, 116, 121, 123, 127, 138, 141, 142, 145, 151, 154, 162, 165, 168, 172, 173, 174, 175, 182, 194, 200]",exp1,KSC,2,62.80066967010498,230.19
