classifier,num_bands,OA,AA,Kappa,classifier_time_sec,selected_bands,experiment,dataset,run,train_time_sec,model_size_mb
knn,40,0.7482926829268293,0.6732850735564848,0.7111679540053124,0.1377410888671875,"[4, 7, 11, 16, 19, 22, 25, 31, 32, 34, 44, 51, 53, 56, 62, 73, 85, 88, 93, 96, 101, 112, 115, 125, 127, 135, 143, 144, 147, 152, 154, 158, 172, 176, 177, 178, 184, 191, 194, 199]",exp1,Indian_pines,1,17.36171531677246,53.904
rf,10,0.8297560975609756,0.7980222189542435,0.8047621178746155,3.766831636428833,"[24, 35, 42, 73, 88, 100, 107, 137, 160, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
svc,10,0.8204878048780487,0.8362982137622024,0.7964216737516998,2.2871358394622803,"[24, 35, 42, 73, 88, 100, 107, 137, 160, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
knn,10,0.7546341463414634,0.6702732396879509,0.7182724938710641,0.11449646949768066,"[24, 35, 42, 73, 88, 100, 107, 137, 160, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
rf,15,0.8282926829268292,0.768099454515103,0.8029383379421803,3.622836112976074,"[24, 35, 42, 73, 88, 92, 100, 107, 137, 157, 160, 171, 175, 191, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
svc,15,0.8273170731707317,0.8464444631500347,0.804224932252978,2.247420072555542,"[24, 35, 42, 73, 88, 92, 100, 107, 137, 157, 160, 171, 175, 191, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
knn,15,0.755609756097561,0.6522806317760693,0.7191359982848167,0.1461174488067627,"[24, 35, 42, 73, 88, 92, 100, 107, 137, 157, 160, 171, 175, 191, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
rf,20,0.8317073170731707,0.7636947672870824,0.8068502151752781,4.506449222564697,"[24, 35, 40, 42, 73, 88, 92, 95, 100, 107, 137, 145, 147, 157, 160, 171, 175, 191, 193, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
svc,20,0.8380487804878048,0.8700864424629219,0.8160422708157252,2.1941404342651367,"[24, 35, 40, 42, 73, 88, 92, 95, 100, 107, 137, 145, 147, 157, 160, 171, 175, 191, 193, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
knn,20,0.7341463414634146,0.6547077348335855,0.6944550949493269,0.1208188533782959,"[24, 35, 40, 42, 73, 88, 92, 95, 100, 107, 137, 145, 147, 157, 160, 171, 175, 191, 193, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
rf,25,0.8336585365853658,0.750253377609333,0.8091172618833071,5.377766132354736,"[24, 35, 40, 42, 60, 73, 88, 92, 95, 100, 107, 135, 137, 145, 147, 149, 157, 160, 167, 171, 175, 191, 193, 198, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
svc,25,0.8526829268292683,0.8787284009132865,0.8325845021004683,2.58087420463562,"[24, 35, 40, 42, 60, 73, 88, 92, 95, 100, 107, 135, 137, 145, 147, 149, 157, 160, 167, 171, 175, 191, 193, 198, 199]",exp1,Indian_pines,2,17.341301679611206,53.904
